,Number,xcoord,ycoord,Name,TLC
0,0,518468.0,416731.0,,
1,1,518436.0,417109.0,,
2,2,519664.0,416593.0,,
3,3,401446.0,299362.0,,
4,4,448993.0,331870.0,,
5,5,449406.0,331267.0,,
6,6,449510.0,332083.0,,
7,7,448885.0,331941.0,,
8,8,410695.0,271809.0,Wood End,WDE
9,9,394058.0,564310.0,Hexham,HEX
10,10,564595.0,175858.0,,
11,11,361740.0,469926.0,Wennington,WNN
12,12,625958.0,232407.0,Harwich Town,HWC
13,13,526189.0,410677.0,,
14,14,525068.0,410044.0,,
15,15,520357.0,415018.0,,
16,16,527701.0,411203.0,,
17,17,519993.0,416251.0,,
18,18,589911.0,118340.0,Winchelsea,WSE
19,19,360799.0,172603.0,,
20,20,512479.0,429686.0,,
21,21,506690.0,429483.0,,
22,22,567989.0,147776.0,Beltring,BEG
23,23,568526.0,150268.0,Yalding,YAL
24,24,567176.0,145276.0,,
25,25,626831.0,308354.0,,
26,26,458021.0,405170.0,,
27,27,457974.0,405093.0,,
28,28,460842.0,407405.0,,
29,29,461669.0,431928.0,,
30,30,609578.0,232273.0,,
31,31,641270.0,302260.0,Reedham (Norfolk),REE
32,32,554157.0,279085.0,,
33,33,520399.0,177182.0,Chiswick,CHK
34,34,521465.0,176226.0,Barnes Bridge,BNI
35,35,519141.0,178088.0,,
36,36,457125.0,403721.0,,
37,37,464738.0,410688.0,Hatfield & Stainforth,HFS
38,38,466911.0,412110.0,,
39,39,464384.0,410453.0,,
40,40,454729.0,320141.0,,
41,41,343221.0,282698.0,,
42,42,345558.0,293536.0,Church Stretton,CTT
43,43,393849.0,411582.0,New Hey,
44,44,509066.0,428750.0,Hull,HUL
45,45,508486.0,428954.0,,
46,46,483907.0,410618.0,Althorpe,ALP
47,47,525401.0,177994.0,West Brompton,WBP
48,48,527326.0,176253.0,,
49,49,524384.0,179135.0,Kensington Olympia,KPA
50,50,591302.0,172148.0,Queenborough,QBR
51,51,591787.0,174903.0,Sheerness-on-Sea,SSS
52,52,530446.0,178036.0,Vauxhall (London),VXH
53,53,531044.0,179849.0,Waterloo (London),WAT
54,54,529142.0,176974.0,,
55,55,559869.0,177652.0,,
56,56,531784.0,180169.0,,
57,57,532086.0,178957.0,Elephant & Castle,EPH
58,58,532003.0,180069.0,,
59,59,391807.0,322926.0,Stafford,STA
60,60,387292.0,329845.0,Norton Bridge,
61,61,654743.0,292866.0,Lowestoft,LWT
62,62,225383.0,53939.0,Looe,LOO
63,63,224884.0,57091.0,Sandplace,SDP
64,64,352780.0,429096.0,,
65,65,564370.0,175200.0,,
66,66,564367.0,175408.0,,
67,67,529152.0,176699.0,,
68,68,528786.0,176714.0,Queenstown Road (Battersea),QRB
69,69,651984.0,308092.0,Great Yarmouth,GYM
70,70,650507.0,308787.0,,
71,71,349599.0,312797.0,,
72,72,410305.0,440264.0,Crossflatts,CFL
73,73,457126.0,404079.0,,
74,74,646026.0,305334.0,Berney Arms,BYA
75,75,377918.0,564499.0,Bardon Mill,BLL
76,76,431911.0,126135.0,Dunbridge,DBG
77,77,266214.0,116873.0,Kings Nympton,KGN
78,78,263093.0,119331.0,Portsmouth Arms,PMA
79,79,416639.0,432232.0,,
80,80,255532.0,132533.0,Barnstaple,BNP
81,81,255510.0,132550.0,,
82,82,554317.0,279344.0,Ely,ELY
83,83,459753.0,90538.0,Smallbrook Junction,SAB
84,84,459569.0,91896.0,Ryde St Johns Road,RYR
85,85,528584.0,176519.0,,
86,86,527608.0,176199.0,,
87,87,529286.0,176373.0,,
88,88,493702.0,265359.0,,
89,89,536348.0,169509.0,Clock House,CLK
90,90,401402.0,277655.0,Longbridge,LOB
