wkt_geom;nodeid;name;tlc;node_id;journeys
Point (359778 172401);53;Bristol Temple Meads;BRI;railn_53;61155.98921930285
Point (360226 172686);54;;;railn_54;63697.97459396896
Point (359628 171880);55;;;railn_55;20648.28736728214
Point (360799 172603);208;;;railn_208;24715.800654675677
Point (360909 172569);209;;;railn_209;24715.800654675677
Point (360684 172950);210;;;railn_210;38982.17393929244
Point (369859 180285);324;;;railn_324;54528.89511805553
Point (360686 179887);496;;;railn_496;0
Point (360571 179904);497;;;railn_497;0
Point (361184 180422);498;;;railn_498;11469.396872771515
Point (362089 179661);499;;;railn_499;50067.69778158465
Point (352265 180824);1520;;;railn_1520;513.2006852858605
Point (361153 179145);1521;;;railn_1521;11469.396872771515
Point (361162 180576);1544;;;railn_1544;34914.01415742395
Point (360903 173453);1889;Lawrence Hill;LWH;railn_1889;39306.13007771335
Point (358508 174554);2452;Redland;RDA;railn_2452;2042.0224269927332
Point (359251 174538);2453;Montpelier;MTP;railn_2453;2167.6443130106113
Point (357643 174123);2454;Clifton Down;CFN;railn_2454;1985.0838536626682
Point (362433 179563);2544;Bristol Parkway;BPW;railn_2544;56196.025080598236
Point (361150 179040);2545;Filton Abbey Wood;FIT;railn_2545;38860.135372817334
Point (357565 170505);2910;;;railn_2910;20276.975822540633
Point (360390 174858);3029;;;railn_3029;39376.96391353754
Point (365684 168859);3064;Keynsham;KYN;railn_3064;25298.792985301312
Point (351566 178133);3120;Avonmouth;AVN;railn_3120;736.7102216994571
Point (352966 176363);3121;Shirehampton;SHH;railn_3121;813.0158600888054
Point (351783 179553);3122;St Andrews Road;SAR;railn_3122;522.6482262349028
Point (358775 171420);3208;Bedminster;BMT;railn_3208;20673.757513672575
Point (357784 170619);3209;Parson Street;PSN;railn_3209;20537.42348204756
Point (354975 175834);3288;Sea Mills;SML;railn_3288;901.7627400403878
Point (360769 174410);3353;Stapleton Road;SRD;railn_3353;39546.71667029977
Point (356675 171434);3699;;;railn_3699;0
Point (361081 180930);3848;Patchway;PWY;railn_3848;34995.25361708023
Point (358604 172271);3916;;;railn_3916;0
