Origin,Destination,People affected indirectly
Split 24,Split 29,727350
Split 29,Stalybridge,727350
Gorton,Split 11,724244
Gorton,Fairfield,724237
Split 22,Guide Bridge,724234
Split 22,Fairfield,724234
Guide Bridge,Split 24,724223
Ashburys,Split 11,720386
Ashburys,Split 10,720375
Split 25,Split 10,720375
Split 8,Split 9,708935
Split 16,Split 17,708935
Split 16,Split 18,708935
Split 18,Split 21,708935
Split 21,Ashton-under-Lyne,708935
Split 9,Split 17,708935
Ashton-under-Lyne,Stalybridge,708753
Manchester Victoria,Salford Central,706392
Split 8,Split 6,703103
Manchester Victoria,Split 6,703103
Split 13,Split 33,697150
Manchester Oxford Road,Manchester Piccadilly,683031
Deansgate,Split 13,680030
Manchester Oxford Road,Deansgate,679993
Split 25,Manchester Piccadilly,626258
Split 2,Salford Central,38768
Split 2,Split 33,29218
Split 33,Salford Central,27316
Salford Crescent,Split 2,0
Salford Crescent,Split 3,0
Split 4,Split 5,0
Split 4,Split 7,0
Ryder Brow,Belle Vue,0
Split 8,Split 5,0
Levenshulme,Split 12,0
Levenshulme,Heaton Chapel,0
Altrincham,Navigation Road,0
Flixton,Chassen Road,0
Godley,Newton for Hyde,0
Romiley,Split 14,0
Romiley,Split 1,0
Heaton Chapel,Split 15,0
Clifton,Split 3,0
Split 15,Stockport,0
Swinton (Greater Manchester),Moorside,0
Swinton (Greater Manchester),Split 3,0
Mauldeth Road,Split 12,0
Mauldeth Road,Burnage,0
Humphrey Park,Urmston,0
Humphrey Park,Trafford Park,0
Brinnington,Reddish North,0
Brinnington,Bredbury,0
Chassen Road,Urmston,0
Burnage,East Didsbury,0
Moorside,Walkden,0
Split 14,Bredbury,0
Patricroft,Eccles,0
Ardwick,Split 12,0
Ardwick,Split 25,0
Split 28,Split 24,0
Split 28,Split 30,0
Ryder Brow,Reddish North,0
East Didsbury,Gatley,0
Split 32,Split 34,0
Split 32,Navigation Road,0
Split 33,Eccles,0
Flowery Field,Newton for Hyde,0
Flowery Field,Split 30,0
Split 34,Split 35,0
Moston,Split 7,0
Stockport,Split 35,0
Davenport,Woodsmoor,0
Davenport,Split 35,0
Split 11,Belle Vue,0
Split 13,Manchester United Football Ground,0
Manchester United Football Ground,Trafford Park,0
