Origin,Destination,People affected directly
Split 25,Manchester Piccadilly,109496
Ardwick,Split 12,94117
Ardwick,Split 25,94117
Stockport,Split 35,87530
Heaton Chapel,Split 15,81973
Split 15,Stockport,81973
Levenshulme,Heaton Chapel,80856
Levenshulme,Split 12,80065
Manchester Oxford Road,Deansgate,55761
Deansgate,Split 13,55724
Manchester Oxford Road,Manchester Piccadilly,52723
Split 13,Split 33,38604
Split 8,Split 6,32651
Manchester Victoria,Split 6,32651
Manchester Victoria,Salford Central,29362
Salford Crescent,Split 2,27316
Salford Crescent,Split 3,27221
Ashton-under-Lyne,Stalybridge,27001
Split 8,Split 9,26819
Split 16,Split 17,26819
Split 16,Split 18,26819
Split 18,Split 21,26819
Split 21,Ashton-under-Lyne,26819
Split 9,Split 17,26819
Split 33,Salford Central,20335
Clifton,Split 3,19301
Split 33,Eccles,19083
Patricroft,Eccles,18974
Split 2,Split 33,18433
Split 13,Manchester United Football Ground,17120
Manchester United Football Ground,Trafford Park,17120
Humphrey Park,Trafford Park,17104
Humphrey Park,Urmston,17094
Chassen Road,Urmston,16983
Flixton,Chassen Road,16966
Ashburys,Split 10,15379
Split 25,Split 10,15379
Ashburys,Split 11,15368
Davenport,Split 35,15306
Davenport,Woodsmoor,15044
Mauldeth Road,Split 12,14052
Mauldeth Road,Burnage,13408
Burnage,East Didsbury,13018
East Didsbury,Gatley,12560
Guide Bridge,Split 24,11531
Split 22,Guide Bridge,11520
Split 22,Fairfield,11520
Gorton,Fairfield,11517
Gorton,Split 11,11510
Split 2,Salford Central,8883
Split 24,Split 29,8404
Split 29,Stalybridge,8404
Swinton (Greater Manchester),Split 3,7919
Swinton (Greater Manchester),Moorside,7880
Moorside,Walkden,7869
Split 4,Split 5,5831
Split 4,Split 7,5831
Split 8,Split 5,5831
Moston,Split 7,5831
Split 11,Belle Vue,3857
Ryder Brow,Belle Vue,3847
Ryder Brow,Reddish North,3817
Brinnington,Reddish North,3636
Brinnington,Bredbury,3563
Romiley,Split 14,3369
Split 14,Bredbury,3369
Split 28,Split 24,3127
Split 28,Split 30,3127
Flowery Field,Split 30,3127
Romiley,Split 1,3012
Split 32,Split 34,3002
Split 32,Navigation Road,3002
Split 34,Split 35,3002
Altrincham,Navigation Road,2910
Flowery Field,Newton for Hyde,2876
Godley,Newton for Hyde,2673
